océan,image,coordonnées_géographiques,nature_de_l_élément,nature_de_l_élémentLabel,pays,paysLabel,catégorie_Commons
http://www.wikidata.org/entity/Q1340711,http://commons.wikimedia.org/wiki/Special:FilePath/Mehetia%20NASA%202000.jpg,Point(-148.066666666 -17.866666666),http://www.wikidata.org/entity/Q23442,île,http://www.wikidata.org/entity/Q142,France,Mehetia
http://www.wikidata.org/entity/Q1347484,http://commons.wikimedia.org/wiki/Special:FilePath/Mere%20Lava%20Landsat.jpg,Point(168.038291666 -14.463936111),http://www.wikidata.org/entity/Q8072,volcan,http://www.wikidata.org/entity/Q686,Vanuatu,Merelava
http://www.wikidata.org/entity/Q1347484,http://commons.wikimedia.org/wiki/Special:FilePath/Mere%20Lava%20Landsat.jpg,Point(168.038291666 -14.463936111),http://www.wikidata.org/entity/Q23442,île,http://www.wikidata.org/entity/Q686,Vanuatu,Merelava
http://www.wikidata.org/entity/Q1361324,http://commons.wikimedia.org/wiki/Special:FilePath/Socorro%20Island.jpg,Point(-110.975 18.784444444),http://www.wikidata.org/entity/Q8072,volcan,http://www.wikidata.org/entity/Q96,Mexique,Socorro Island
http://www.wikidata.org/entity/Q1361324,http://commons.wikimedia.org/wiki/Special:FilePath/Socorro%20Island.jpg,Point(-110.975 18.784444444),http://www.wikidata.org/entity/Q23442,île,http://www.wikidata.org/entity/Q96,Mexique,Socorro Island
http://www.wikidata.org/entity/Q1361324,http://commons.wikimedia.org/wiki/Special:FilePath/Socorro%20Island.jpg,Point(-110.975 18.784444444),http://www.wikidata.org/entity/Q212057,volcan bouclier,http://www.wikidata.org/entity/Q96,Mexique,Socorro Island
http://www.wikidata.org/entity/Q1427939,http://commons.wikimedia.org/wiki/Special:FilePath/Fonualei.jpg,Point(-174.325 -18.024),http://www.wikidata.org/entity/Q8072,volcan,http://www.wikidata.org/entity/Q678,Tonga,Fonualei
http://www.wikidata.org/entity/Q1427939,http://commons.wikimedia.org/wiki/Special:FilePath/Fonualei.jpg,Point(-174.325 -18.024),http://www.wikidata.org/entity/Q23442,île,http://www.wikidata.org/entity/Q678,Tonga,Fonualei
http://www.wikidata.org/entity/Q1869839,http://commons.wikimedia.org/wiki/Special:FilePath/Paamamap.png,Point(168.5 -16.833333333),http://www.wikidata.org/entity/Q8072,volcan,http://www.wikidata.org/entity/Q686,Vanuatu,
http://www.wikidata.org/entity/Q1869839,http://commons.wikimedia.org/wiki/Special:FilePath/Paamamap.png,Point(168.5 -16.833333333),http://www.wikidata.org/entity/Q8502,montagne,http://www.wikidata.org/entity/Q686,Vanuatu,
http://www.wikidata.org/entity/Q1869839,http://commons.wikimedia.org/wiki/Special:FilePath/Paamamap.png,Point(168.5 -16.833333333),http://www.wikidata.org/entity/Q23442,île,http://www.wikidata.org/entity/Q686,Vanuatu,
http://www.wikidata.org/entity/Q1891390,http://commons.wikimedia.org/wiki/Special:FilePath/Desventuradas.png,Point(-80.0833 -26.2986),http://www.wikidata.org/entity/Q8072,volcan,http://www.wikidata.org/entity/Q298,Chili,
http://www.wikidata.org/entity/Q1891390,http://commons.wikimedia.org/wiki/Special:FilePath/Desventuradas.png,Point(-80.0833 -26.2986),http://www.wikidata.org/entity/Q23442,île,http://www.wikidata.org/entity/Q298,Chili,
